list_name,name,label,governorate,district,subdistrict,community,order
subdistrict,SY050501,Kafr Zeita,,SY0505,,,
subdistrict,SY050502,Karnaz,,SY0505,,,
subdistrict,SY060002,Rabee'a,,SY0600,,,
subdistrict,SY060001,Bahlolieh,,SY0600,,,
subdistrict,SY060003,Ein El-Bayda,,SY0600,,,
subdistrict,SY060005,Kasab,,SY0600,,,
subdistrict,SY060006,Hanadi,,SY0600,,,
subdistrict,SY060004,Qastal Maaf,,SY0600,,,
subdistrict,SY060000,Lattakia,,SY0600,,,
subdistrict,SY060200,Jablah,,SY0602,,,
subdistrict,SY060202,Qteilbiyyeh,,SY0602,,,
subdistrict,SY060203,Ein Shaqaq,,SY0602,,,
subdistrict,SY060204,Dalyeh,,SY0602,,,
subdistrict,SY060201,Ein Elsharqiyeh,,SY0602,,,
subdistrict,SY060205,Beit Yashout,,SY0602,,,
subdistrict,SY060303,Kansaba,,SY0603,,,
subdistrict,SY060301,Salanfa,,SY0603,,,
subdistrict,SY060304,Mzair'a,,SY0603,,,
subdistrict,SY060302,Ein Et-teeneh,,SY0603,,,
subdistrict,SY060300,Al-Haffa,,SY0603,,,
subdistrict,SY060402,Fakhura,,SY0604,,,
subdistrict,SY060403,Jobet Berghal,,SY0604,,,
subdistrict,SY060400,Al-Qardaha,,SY0604,,,
subdistrict,SY060401,Harf Elmseitra,,SY0604,,,
subdistrict,SY070001,Abul Thohur,,SY0700,,,
subdistrict,SY070002,Bennsh,,SY0700,,,
subdistrict,SY070003,Saraqab,,SY0700,,,
subdistrict,SY070004,Teftnaz,,SY0700,,,
subdistrict,SY070005,Maaret Tamsrin,,SY0700,,,
subdistrict,SY070006,Sarmin,,SY0700,,,
subdistrict,SY070000,Idleb,,SY0700,,,
subdistrict,SY070200,Ma'arrat An Nu'man,,SY0702,,,
subdistrict,SY070201,Khan Shaykun,,SY0702,,,
subdistrict,SY070202,Sanjar,,SY0702,,,
subdistrict,SY070203,Kafr Nobol,,SY0702,,,
subdistrict,SY070204,Tamanaah,,SY0702,,,
subdistrict,SY070205,Heish,,SY0702,,,
subdistrict,SY070300,Harim,,SY0703,,,
subdistrict,SY070301,Dana,,SY0703,,,
subdistrict,SY070302,Salqin,,SY0703,,,
subdistrict,SY070303,Kafr Takharim,,SY0703,,,
subdistrict,SY070304,Qourqeena,,SY0703,,,
subdistrict,SY070305,Armanaz,,SY0703,,,
subdistrict,SY070400,Jisr-Ash-Shugur,,SY0704,,,
subdistrict,SY070401,Badama,,SY0704,,,
subdistrict,SY070402,Darkosh,,SY0704,,,
subdistrict,SY070403,Janudiyeh,,SY0704,,,
subdistrict,SY070500,Ariha,,SY0705,,,
subdistrict,SY070501,Ehsem,,SY0705,,,
subdistrict,SY070502,Mhambal,,SY0705,,,
subdistrict,SY080000,Al-Hasakeh,,SY0800,,,
subdistrict,SY080001,Tal Tamer,,SY0800,,,
subdistrict,SY080002,Shadadah,,SY0800,,,
subdistrict,SY080003,Markada,,SY0800,,,
subdistrict,SY080004,Be'r Al-Hulo Al-Wardeyyeh,,SY0800,,,
subdistrict,SY080005,Areesheh,,SY0800,,,
subdistrict,SY080006,Hole,,SY0800,,,
